Gene_ID,ODB7_OG_ID
TC008734,EOG700M70
TC030736,EOG700M71
TC007481,EOG700M74
TC005587,EOG700M75
TC008354,EOG700M77
TC010120,EOG700M79
TC003474,EOG700M7C
TC010383,EOG700M7F
TC012547,EOG700M7F
TC009709,EOG700M7G
TC004564,EOG700M7H
TC009166,EOG700M7H
TC009167,EOG700M7H
TC009452,EOG700M7H
TC009641,EOG700M7H
TC009642,EOG700M7H
TC009643,EOG700M7H
TC009644,EOG700M7H
TC011430,EOG700M7J
TC005074,EOG700M7K
TC013073,EOG700M7P
TC000051,EOG700M7Q
TC013938,EOG700M7V
TC001154,EOG700M7W
TC015001,EOG700M7Z
TC015002,EOG700M7Z
TC011451,EOG700M87
TC000830,EOG700M8D
TC000080,EOG700M8H
TC011756,EOG700M8M
TC002922,EOG700M8Q
TC009835,EOG700M8R
TC001205,EOG700M9M
TC000755,EOG700MBH
TC000756,EOG700MBH
TC016077,EOG700MBQ
TC014696,EOG703GFT
TC014697,EOG703GFT
TC014698,EOG703GFT
TC009311,EOG703GFV
TC009361,EOG703GFW
TC008896,EOG703GFX
TC001668,EOG703GG0
TC001669,EOG703GG0
TC010961,EOG703GG1
TC002585,EOG703GG2
TC010433,EOG703GG3
TC003001,EOG703GG4
TC009439,EOG703GG5
TC005421,EOG703GG6
TC000315,EOG703GG7
TC013340,EOG703GG8
TC010814,EOG703GG9
TC015144,EOG703GGB
TC006469,EOG703GGM
TC012179,EOG703GGN
TC006099,EOG703GGS
TC006100,EOG703GGS
TC006101,EOG703GGS
TC008845,EOG703GGV
TC009139,EOG703GGV
TC010879,EOG703GGV
TC010965,EOG703GGV
TC011721,EOG703GGV
TC011722,EOG703GGV
TC012027,EOG703GGV
TC012770,EOG703GGV
TC012772,EOG703GGV
TC009922,EOG703GH0
TC002686,EOG703GH2
TC008384,EOG703GH2
TC012440,EOG703GH3
TC001593,EOG703GH5
TC012945,EOG703GH6
TC003444,EOG703GHB
TC002259,EOG703GHC
TC014980,EOG703GHF
TC003354,EOG703GHG
TC003355,EOG703GHG
TC002229,EOG703GHQ
TC011273,EOG703GHQ
TC002625,EOG703GJ7
TC010768,EOG703GJN
TC030735,EOG706BPR
TC007877,EOG706BPS
TC007878,EOG706BPS
TC000538,EOG706BPT
TC004367,EOG706BPV
TC030699,EOG706BPW
TC015935,EOG706BPX
TC002463,EOG706BPZ
TC013646,EOG706BQ1
TC007147,EOG706BQ2
TC002784,EOG706BQ4
TC001922,EOG706BQ5
TC001222,EOG706BQ6
TC001223,EOG706BQ6
TC002973,EOG706BQ7
TC001431,EOG706BQ8
TC013633,EOG706BQ8
TC012760,EOG706BQ9
TC000216,EOG706BQB
TC014690,EOG706BQD
TC009268,EOG706BQJ
TC001918,EOG706BQK
TC007176,EOG706BQM
TC009521,EOG706BQN
TC002884,EOG706BQP
TC002948,EOG706BQP
TC000317,EOG706BQQ
TC014005,EOG706BQR
TC001838,EOG706BQX
TC002041,EOG706BQX
TC002178,EOG706BQX
TC002325,EOG706BQX
TC002454,EOG706BQX
TC005248,EOG706BQX
TC006136,EOG706BQX
TC008496,EOG706BQX
TC009407,EOG706BQX
TC010685,EOG706BQX
TC010686,EOG706BQX
TC010710,EOG706BQX
TC010711,EOG706BQX
TC011487,EOG706BQX
TC011578,EOG706BQX
TC016140,EOG706BQX
TC010369,EOG706BR5
TC002080,EOG706BR9
TC004765,EOG706BRD
TC000587,EOG706BRJ
TC008433,EOG706BRM
TC030565,EOG706BRN
TC006577,EOG706BRZ
TC004646,EOG706BS4
TC004587,EOG706BS5
TC006609,EOG706BS9
TC013712,EOG7096XR
TC013927,EOG7096XV
TC010869,EOG7096XX
TC002071,EOG7096XZ
TC004635,EOG7096Z5
TC012980,EOG7096Z6
TC008787,EOG7096Z7
TC030715,EOG7096Z8
TC013613,EOG7096Z9
TC001580,EOG7096ZB
TC001437,EOG7096ZC
TC002132,EOG7096ZD
TC012752,EOG7096ZF
TC000699,EOG7096ZG
TC010779,EOG7096ZN
TC008765,EOG7096ZS
TC014453,EOG7096ZT
TC003870,EOG7096ZV
TC011251,EOG709700
TC004645,EOG709702
TC030709,EOG709702
TC014288,EOG709704
TC001076,EOG709706
TC001081,EOG709706
TC005423,EOG709708
TC013479,EOG709709
TC014505,EOG70970D
