TC_id,FlyGeneOrtholog
TC000001,CG5904
TC000003,CG12579
TC000011,CG12253
TC000013,CG12970
TC000014,CG6313
TC000015,BcDNA:LD22548
TC000020,RpI135
TC000021,JIL-1
TC000023,CG6749
TC000024,emc
TC000026,CG5466
TC000027,Neos
TC000028,CG8635
TC000029,CG1212
TC000030,CG11989
TC000031,CG12314
TC000032,Cdc27
TC000033,CG18665
TC000034,CG14771
TC000039,CG10517
TC000040,Pka-R1
TC000041,CG6700
TC000042,BcDNA:GH11673
TC000043,CG7361
TC000044,CG7942
TC000045,CG13903
TC000046,CG11611
TC000048,CG2310
TC000049,CG10948
TC000050,Sop2
TC000051,CG11652
TC000052,CG14134
TC000053,CG6310
TC000054,CG6776
TC000055,CG6673
TC000056,crc
TC000057,EG:100G10.1
TC000058,CG8517
TC000059,CG8833
TC000063,CG11900
TC000064,CG15897
TC000065,CG1142
TC000066,CG5359
TC000067,Gst2
TC000068,Dcp-1
TC000069,Pros26
TC000070,Pep
TC000071,CG2485
TC000074,Pdi
TC000075,glu
TC000076,CG9492
TC000077,Dhc93AB
TC000078,CG12533
TC000079,RpL27A
TC000080,CG10981
TC000081,CG7388
TC000082,CG7506
TC000083,Cat
TC000085,Deaf1
TC000086,CG7526
TC000087,Hn
TC000088,Clk
TC000089,EG:8D8.2
TC000090,CG17233
TC000091,CG18374
TC000092,CG13470
TC000093,CG11563
TC000094,CG6750
TC000095,CG9615
TC000097,CG7896
TC000098,CG7770
TC000100,fax
TC000101,CG1764
TC000102,sesB
TC000103,Pp2B-14D
TC000104,mbf1
TC000105,decay
TC000107,CG2858
TC000108,CG6774
TC000109,Dbp73D
TC000110,lds
TC000111,CG15120
TC000112,CG3225
TC000113,CG11141
TC000114,zinc-finger-motif-protein
TC000117,BcDNA:GH03377
TC000118,Rh3
TC000119,Dhc16F
TC000121,CG7801
TC000123,dm
TC000124,CG12272
TC000125,CG8243
TC000126,CG11539
TC000127,CG7339
TC000129,zinc-finger-motif-protein
TC000130,CG6053
TC000131,CG12012
TC000132,Nak
TC000136,CG4407
TC000137,CG11486
TC000138,CG13902
TC000140,CG2990
TC000142,CG13887
TC000143,CG17737
TC000144,Arp14D
TC000148,Cyp6g2
TC000150,CG1627
TC000151,Cyp6g2
TC000152,Cyp6g2
TC000153,Cyp6g2
TC000158,CG8414
TC000159,CG13472
TC000160,CG6364
TC000161,Surf4
TC000162,CG6369
TC000163,SP71
TC000164,Ranbp11
TC000165,CG14516
TC000166,Or49b
TC000167,CG6169
TC000169,CG6309
TC000170,CG9092
TC000172,CG9796
TC000173,CG9796
TC000174,CG9796
TC000175,Pxd
TC000176,Tl
TC000177,CG3138
TC000178,Eh
TC000179,BG:DS00004.11
TC000180,CG9282
TC000181,CG13886
TC000182,CG3101
TC000183,SAP18
TC000184,CG14290
TC000185,CG17838
TC000187,CG5449
TC000188,Hsc70-2
TC000189,CG11740
TC000190,CG11737
TC000192,CG1559
TC000193,CG5232
TC000195,CG7137
TC000196,CG6511
TC000197,CG6201
TC000198,CG17949
TC000199,mspo
TC000201,mspo
TC000202,Or7a
TC000203,CG9449
TC000206,CG7369
TC000207,Plc21C
TC000208,CG6701
TC000210,sli
TC000214,sli
TC000216,neur
TC000217,CG6471
TC000218,Gs1
TC000219,CG3803
TC000220,CG7280
TC000221,CG6977
TC000222,ds
TC000223,CG6766
TC000224,CkIIbeta
TC000225,CG5376
TC000226,CG4859
TC000228,Mlc-k
TC000229,CG7033
TC000231,CG3437
TC000234,CG7768
TC000235,CG6632
TC000236,CG6472
TC000237,mub
TC000238,BcDNA:GH07626
TC000240,CG6112
TC000243,Nup154
TC000244,Chi
TC000245,CG7757
TC000246,CG5390
TC000247,CG5390
TC000248,CG5390
TC000249,CG5390
TC000250,CG5390
TC000252,CG8738
TC000253,CG12901
TC000254,CG12904
TC000255,CG10418
TC000258,Pros35
TC000265,CG15813
TC000266,Abl
TC000267,CG7989
TC000268,Taf110
TC000269,CG10440
TC000271,CG6322
TC000272,CG12171
TC000273,alphaTub84B
TC000274,CG15628
TC000275,CG13624
TC000276,CG13901
TC000277,CG13197
TC000282,Cyp9f2
TC000296,CG5890
TC000297,CG2976
TC000298,CG7918
TC000299,CG5706
TC000300,CG5706
TC000301,CG11156
TC000302,CG15221
TC000303,CG15221
TC000304,CG6523
TC000305,Atpalpha
TC000306,CG13018
TC000308,Ide
TC000311,ash1
TC000312,Mcm2
TC000313,CG2260
TC000315,CG6966
TC000316,CG14880
TC000317,CG5854
TC000318,CG3001
TC000319,CG3001
TC000321,CG6001
TC000322,CG6001
TC000323,CG6038
TC000324,CG5445
TC000325,CG8193
TC000326,CG3850
